1 500 10000 667.282 1 49.9089
2 500 10000 653.147 1.87274 26.6503
3 500 10000 664.413 2.39403 20.8472
4 500 10000 669.996 2.79603 17.8499
5 500 10000 663.706 2.70636 18.4414
6 500 10000 652.626 2.42621 20.5708
7 500 10000 639.965 2.09963 23.7704
8 500 10000 661.594 2.05329 24.3068
9 500 10000 642.109 2.0365 24.5073
10 500 10000 608.169 1.97406 25.2823
11 500 10000 660.517 1.95154 25.5741
12 500 10000 655.239 1.90743 26.1655
13 500 10000 649.587 1.80452 27.6577
14 500 10000 637.174 1.82732 27.3127
15 500 10000 653.855 1.80625 27.6313
16 500 10000 656.825 1.80615 27.6328
17 500 10000 631.409 1.83782 27.1565
18 500 10000 656.015 1.90702 26.1712
19 500 10000 658.525 1.93983 25.7285
20 500 10000 662.879 1.94105 25.7124
21 500 10000 659.502 1.93346 25.8133
22 500 10000 641.366 1.94455 25.6661
23 500 10000 659.041 1.41163 35.3556
24 500 10000 644.99 1.17907 42.329
25 500 10000 642.602 1.90198 26.2405
26 500 10000 653.197 1.89127 26.3892
27 500 10000 644.515 1.88252 26.5118
28 500 10000 643.305 1.89202 26.3786
29 500 10000 654.671 1.89076 26.3962
30 500 10000 646.569 1.88352 26.4977
31 500 10000 649.123 1.88527 26.473
32 500 10000 652.434 1.8808 26.5361
33 500 10000 646.005 1.86777 26.7212
34 500 10000 643.961 1.87283 26.649
35 500 10000 661.716 1.86017 26.8304
36 500 10000 642.673 1.86437 26.7698
