1 25 250 826.479 1
4 25 250 868.332 1.62354
1 25 500 773.338 1
4 25 500 763.781 1.58567
1 25 1000 654.609 1
4 25 1000 664.954 1.64371
1 25 2500 559.005 1
4 25 2500 574.819 1.61321
1 25 5000 532.478 1
4 25 5000 541.298 1.55973
1 25 10000 517.106 1
4 25 10000 513.969 1.08254
1 25 25000 501.228 1
4 25 25000 507.63 1.61885
1 50 250 874.111 1
4 50 250 861.18 1.63088
1 50 500 765.232 1
4 50 500 756.664 1.49889
1 50 1000 668.605 1
4 50 1000 647.984 1.65726
1 50 2500 560.943 1
4 50 2500 559.155 1.69097
1 50 5000 525.742 1
4 50 5000 523.539 1.69448
1 50 10000 497.935 1
4 50 10000 501.167 1.70461
1 50 25000 501.294 1
4 50 25000 497.672 1.69831
1 100 250 833.769 1
4 100 250 859.548 1.68868
1 100 500 727.684 1
4 100 500 735.757 1.74137
1 100 1000 645.528 1
4 100 1000 648.311 1.73121
1 100 2500 556.582 1
4 100 2500 554.421 1.6113
1 100 5000 514.557 1
4 100 5000 515.136 1.51937
1 100 10000 491.084 1
4 100 10000 498.071 1.50949
1 100 25000 489.462 1
4 100 25000 492.293 1.7046
1 250 250 826.162 1
4 250 250 828.844 1.74007
1 250 500 728.062 1
4 250 500 717.482 1.73443
1 250 1000 635.652 1
4 250 1000 635.091 1.71791
1 250 2500 545.815 1
4 250 2500 549.753 1.71743
1 250 5000 506.029 1
4 250 5000 503.634 1.73002
1 250 10000 491.467 1
4 250 10000 492.007 1.72747
1 250 25000 486.129 1
4 250 25000 483.049 1.80552
1 500 250 813.908 1
4 500 250 818.767 1.74724
1 500 500 714.936 1
4 500 500 714.5 1.75502
1 500 1000 622.405 1
4 500 1000 625.431 1.8397
1 500 2500 538.693 1
4 500 2500 537.834 1.75085
1 500 5000 495.156 1
4 500 5000 499.476 1.74368
1 500 10000 480.568 1
4 500 10000 483.222 1.76131
1 500 25000 476.962 1
4 500 25000 477.501 1.71211
1 1000 250 800.434 1
4 1000 250 796.932 1.64834
1 1000 500 700.457 1
4 1000 500 710.907 1.7858
1 1000 1000 617.658 1
4 1000 1000 611.156 1.70237
1 1000 2500 533.789 1
4 1000 2500 523.878 1.69897
1 1000 5000 492.934 1
4 1000 5000 492.923 1.76479
1 1000 10000 477.374 1
4 1000 10000 477.659 1.61362
1 1000 25000 473.089 1
4 1000 25000 471.731 1.75123
